x,y
2,0.00295
3,0.00784
4,0.01644
5,0.02711
6,0.04104 
7,0.05694
8,0.07431
9,0.09312
10,0.11737
11,0.14116
12,0.16704
13,0.19341
14,0.22312
15,0.25236
16,0.28484
17,0.31277
18,0.34591
19,0.37858
20,0.41117
21,0.44443
22,0.47901
23,0.50387
24,0.53482
25,0.57009
26,0.59866
27,0.62763
28,0.65265
29,0.68357
30,0.70503
31,0.73309
32,0.75334
33,0.77524
34,0.79442
35,0.81465
36,0.83089
37,0.84838
38,0.86406
39,0.87716
40,0.89056
41,0.90471
42,0.91351
43,0.92532
44,0.93254
45,0.94018
46,0.94761
47,0.95481
48,0.9602
49,0.96639
50,0.9717
51,0.97419
52,0.97768
53,0.98007
54,0.98342
55,0.98639
56,0.98876
57,0.98977
58,0.99165
59,0.9926
60,0.99437
61,0.99536 
62,0.99562
63,0.99665
64,0.99721
65,0.9976
66,0.99795
67,0.9983
68,0.99863
69,0.999
70,0.99906
71,0.99938
72,0.99957 
73,0.99955
74,0.99974 
75,0.99975
76,0.99982
77,0.99982
78,0.99993
79,0.99989
80,0.99993
81,0.99994 
82,0.99994
83,0.99996
84,0.99995
85,0.99994
86,1.0
87,1.0
88,1.0
89,0.99998
90,0.99999
91,0.99998
92,0.99999
93,0.99999
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0

